Customer ID,First Name,Last Name,State,Date of Birth, Last 6 Months Purchases 
AKel38792,Aaron,Kelley,Kansas,16/03/2006, $425.00 
AAgu38852,Abel,Aguilar,Arkansas,15/05/2006, $90.00 
AYou37354,Abel,Young,New Mexico,08/04/2002, $150.00 
AJos37342,Abraham,Joseph,California,27/03/2002, $25.00 
ARee38089,Abraham,Reese,Oregon,12/04/2004, $154.00 
AHou37417,Adam,Houston,Vermont,10/06/2002, $56.40 
AHer38061,Adrian,Herrera,North Dakota,15/03/2004, $127.00 
AVeg38688,Alan,Vega,Mississippi,02/12/2005, $80.00 
ADun38780,Alberto,Duncan,Washington,04/03/2006, $460.00 
ABel38976,Alejandro,Bell,Colorado,16/09/2006, $366.00 
ACha37139,Alejandro,Chambers,New York,05/09/2001, $393.00 
AHou38846,Alejandro,Houston,Rhode Island,09/05/2006, $287.00 
AOli38341,Alexandra,Oliver,North Carolina,20/12/2004, $75.00 
AGri37951,Alfred,Griffith,Pennsylvania,26/11/2003, $92.00 
ACra37187,Alice,Craig,Illinois,23/10/2001, $84.00 
ABal38523,Allen,Ballard,Idaho,20/06/2005, $59.40 
APad37403,Allison,Padilla,Arizona,27/05/2002, $96.00 
ABar38831,Alma,Barton,Pennsylvania,24/04/2006, $181.00 
AEst38236,Alma,Estrada,Mississippi,06/09/2004, $200.00 
AHig37102,Alma,Higgins,Hawaii,30/07/2001, $75.00 
ALee38708,Alonzo,Lee,California,22/12/2005, $602.00 
ARic38967,Alton,Rice,California,07/09/2006, $900.90 
AMor38993,Alvin,Morgan,Mississippi,03/10/2006, $70.00 
ABen38905,Amanda,Benson,Illinois,07/07/2006, $154.00 
ATuc38484,Amber,Tucker,Pennsylvania,12/05/2005, $84.00 
AHou37227,Amelia,Houston,Louisiana,02/12/2001, $90.00 
ALun39034,Amelia,Luna,Florida,13/11/2006, $225.00 
ATer36904,Amelia,Terry,Nebraska,13/01/2001, $102.00 
ACal37333,Amos,Caldwell,Wisconsin,18/03/2002, $124.00 
AJim37913,Amos,Jimenez,California,19/10/2003, $687.00 
AHog39025,Andrea,Hogan,North Carolina,04/11/2006, $75.00 
ADra38546,Andres,Drake,Pennsylvania,13/07/2005, $150.00 
APar37629,Andres,Park,South Dakota,08/01/2003, $55.00 
ACor37135,Andrew,Cortez,Wyoming,01/09/2001, $165.00 
ATur37645,Andrew,Turner,New Jersey,24/01/2003, $25.00 
AGeo38235,Andy,George,Hawaii,05/09/2004, $715.00 
AGre38840,Andy,Gregory,Mississippi,03/05/2006, $70.00 
AHar38504,Andy,Harvey,Massachusetts,01/06/2005, $225.00 
AWeb37894,Andy,Webster,North Dakota,30/09/2003, $600.00 
ACum38588,Angel,Cummings,Florida,24/08/2005, $57.00 
ARee38169,Angel,Reed,Maryland,01/07/2004, $667.00 
AMor38592,Angela,Morgan,Arizona,28/08/2005, $325.00 
AWeb38568,Angela,Weber,Texas,04/08/2005, $57.20 
AQui38942,Angelina,Quinn,District of Columbia,13/08/2006, $400.00 
ARob36090,Angelo,Roberts,Texas,22/10/1998, $203.00 
ABak36477,Anne,Baker,California,13/11/1999, $25.00 
ANew35597,Annie,Newman,Alabama,16/06/1997, $70.00 
ACoo34447,Anthony,Cook,Montana,23/04/1994, $75.00 
ALun34596,Anthony,Luna,New Hampshire,19/09/1994, $651.00 
APra35499,Anthony,Pratt,Maine,10/03/1997, $84.00 
ACha33420,Antoinette,Chapman,West Virginia,01/07/1991, $90.00 
ACra33314,Antonio,Craig,Iowa,17/03/1991, $425.00 
APop36507,Antonio,Pope,Kansas,13/12/1999, $425.00 
ABut35079,April,Butler,Washington,15/01/1996, $525.00 
AMan35214,Archie,Manning,Vermont,29/05/1996, $72.00 
ANic36182,Archie,Nichols,New Mexico,22/01/1999, $200.00 
ASch35042,Archie,Schwartz,Maryland,09/12/1995, $921.60 
ABak33614,Arlene,Baker,Illinois,11/01/1992, $99.00 
ALaw34952,Arlene,Lawson,California,10/09/1995, $687.00 
ARee33763,Arlene,Reeves,Rhode Island,08/06/1992, $725.00 
AUnd35993,Arlene,Underwood,California,17/07/1998, $932.00 
AWar35334,Arlene,Warner,New Jersey,26/09/1996, $787.00 
AFre34777,Arnold,French,California,19/03/1995, $95.00 
AMan34116,Arturo,Manning,Minnesota,27/05/1993, $300.00 
ARic35130,Arturo,Richards,Oklahoma,06/03/1996, $120.00 
ANew35069,Ashley,Newman,Florida,05/01/1996, $750.00 
ARoy35751,Ashley,Roy,New York,17/11/1997, $258.00 
AWeb35527,Audrey,Webb,Pennsylvania,07/04/1997, $188.00 
ABro35015,Austin,Brooks,Nebraska,12/11/1995, $124.00 
AHig33530,Austin,Higgins,Arkansas,19/10/1991, $90.00 
APet34431,Austin,Peterson,Montana,07/04/1994, $100.00 
BPad35164,Barry,Padilla,South Dakota,09/04/1996, $116.00 
BTho35768,Barry,Thornton,California,04/12/1997, $577.00 
BSte36027,Beatrice,Stevens,Connecticut,20/08/1998, $654.00 
BAnd36210,Becky,Anderson,Hawaii,19/02/1999, $100.00 
BHal33325,Becky,Hall,Florida,28/03/1991, $225.00 
BFor33494,Belinda,Ford,Utah,13/09/1991, $394.00 
BMcc33661,Bennie,Mccoy,California,27/02/1992, $580.00 
BMac35295,Benny,Mack,California,18/08/1996, $659.00 
BHow33871,Bernadette,Howard,California,24/09/1992, $78.00 
BCla33824,Bernard,Clark,Florida,08/08/1992, $64.00 
BVas35145,Bernard,Vasquez,New York,21/03/1996, $298.00 
BMcc34910,Bernice,Mccormick,Pennsylvania,30/07/1995, $725.00 
BSan33897,Bernice,Sanders,New York,20/10/1992, $293.00 
BJac35064,Bertha,Jackson,New Hampshire,31/12/1995, $515.00 
BCla34739,Beth,Clarke,California,09/02/1995, $790.40 
BHof34300,Beth,Hoffman,Florida,27/11/1993, $225.00 
BJac33475,Beth,Jacobs,Texas,25/08/1991, $173.00 
BOls35932,Bethany,Olson,New York,17/05/1998, $100.00 
BCha36411,Betsy,Chambers,Florida,08/09/1999, $70.00 
BRow33736,Betty,Rowe,California,12/05/1992, $702.00 
BDaw33361,Beulah,Dawson,Florida,03/05/1991, $75.00 
BKel34200,Beulah,Kelly,Tennessee,19/08/1993, $60.00 
BBai34526,Beverly,Bailey,Nebraska,11/07/1994, $124.00 
BBoo34731,Bill,Boone,California,01/02/1995, $667.00 
BPor35105,Billy,Porter,Kentucky,10/02/1996, $160.00 
BDou36247,Bobbie,Douglas,Minnesota,28/03/1999, $374.00 
BKim33512,Bonnie,Kim,New York,01/10/1991, $346.00 
BPat35876,Bonnie,Patrick,Ohio,22/03/1998, $108.00 
BFar36033,Boyd,Farmer,Illinois,26/08/1998, $277.00 
BWil34189,Bradley,Wilson,Florida,08/08/1993, $124.00 
BBar34131,Brandi,Barton,Utah,11/06/1993, $299.00 
BGar36284,Brandon,Garrett,Texas,04/05/1999, $118.00 
BBas33848,Brent,Bass,California,01/09/1992, $115.00 
BPot34686,Brett,Potter,Iowa,18/12/1994, $425.00 
BTod35862,Brian,Todd,Arkansas,08/03/1998, $160.00 
BEll34307,Bridget,Elliott,Florida,04/12/1993, $136.00 
BPet33726,Brittany,Peterson,New Jersey,02/05/1992, $25.00 
BYou34501,Brittany,Young,California,16/06/1994, $25.00 
